PVALUE;PTN;XP;YP;ZP
17;13;8242.3;6472.7;436.0
17;14;8258.4;6442.4;436.0
17;15;8282.3;6422.7;436.0
17;16;8293.6;6394.6;436.0
17;17;8332.9;6356.7;436.0
17;18;8370.9;6303.3;436.0
17;19;8400.0;6287.5;436.0
18;1;8044.8;6200.0;444.0
18;2;8008.8;6268.8;444.0
18;3;7984.0;6289.2;444.0
18;4;7954.5;6327.2;444.0
18;5;7905.2;6373.5;444.0
18;6;7878.5;6389.0;444.0
18;7;7857.9;6414.3;444.0
18;8;7904.1;6428.7;444.0
18;9;8061.6;6438.8;444.0
18;10;8164.5;6431.4;444.0
18;11;8230.2;6446.5;444.0
18;12;8248.5;6414.3;444.0
18;13;8262.6;6377.7;444.0
18;14;8264.6;6357.7;444.0
18;15;8292.1;6320.1;444.0
18;16;8326.2;6290.0;444.0
18;17;8348.4;6252.7;444.0
18;18;8375.2;6227.4;444.0
18;19;8400.0;6200.0;444.0
19;1;8113.2;6200.0;447.0
19;2;8103.6;6231.6;447.0
19;3;8000.9;6314.5;447.0
19;4;7984.0;6334.2;447.0
19;5;7919.3;6389.0;447.0
19;6;7892.6;6404.2;447.0
19;7;7999.5;6414.3;447.0
19;8;8135.2;6409.2;447.0
19;9;8206.3;6396.0;447.0
19;10;8234.5;6356.7;447.0
19;11;8245.7;6325.8;447.0
19;12;8280.7;6287.0;447.0
19;13;8310.0;6239.6;447.0
19;14;8320.0;6200.0;447.0
20;1;8268.7;6200.0;452.0
20;2;8247.4;6267.8;452.0
20;3;8214.8;6304.7;452.0
20;4;8190.8;6330.0;452.0
20;5;8162.5;6346.6;452.0
20;6;8124.7;6369.3;452.0
20;7;8100.8;6370.7;452.0
20;8;8057.2;6394.1;452.0
20;9;7950.4;6386.9;452.0
20;10;8000.9;6359.5;452.0
20;11;8019.2;6339.8;452.0
20;12;8060.1;6317.6;452.0
20;13;8095.2;6294.9;452.0
20;14;8174.3;6213.8;452.0
20;15;8167.6;6200.0;452.0
